okrug,accessible_objects,total_objects,population,index,share
САО,1922,3759,12179098,1.5781135844378624,0.5113061984570364
СВАО,683,2208,14558118,0.46915404862084514,0.30932971014492755
СЗАО,365,772,10395968,0.3510976563221434,0.4727979274611399
ЦАО,2034,3911,7744308,2.6264451258911707,0.5200715929429813
ЮВАО,3564,4441,15157878,2.3512525961747417,0.802521954514749
ЮЗАО,537,1508,14355508,0.37407244661770245,0.35610079575596815
